Utterance,Intent,Category 1,Category 2,Category 3
我输入用户名之后就显示:你达到输入安全认证资料的上限，您的网上理财已被锁定，以保障您的安全。 请按"重设登入资料"。,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我输入新增受款人 确认资料。提示输入交易密码,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我输入了用户名，然后按忘记提示答案，回答了两条保安问题，再输入了保安编码，然后网页要我更改提示问题和重设密码,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我输入的密码总是说错误，回答的安全问题也不对,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我收到新的保安编码器要如何启动？,收到实体保安编码器之后，我需要做什么,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
"我是用保安编码模式登入, 想更改第一个密码, 即是提示答案",如何更改网上理财登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我是需要你重新发一份关于保安编码的启动代码,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我是新开的帐户，之前在你公司有设置网上银行，现在登入不了，一直提示密码错误,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我是想用双重密码登入不用保安编码器,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我使用网上理财转帐，然后让我输入保安编码，然后我按照保安编码器的数字输入了之后都说我输入得不对,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
"我申请了网上理财, 但不知为何, 收到保安编码后, 今天尝试LOGIN, 但无法LOG in, 现在BLOCK了",我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我申请了保安密码器，至今还未收到,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我申请了保安编码器一直没有收到，这边收到信息提示我的续费期要到了，很着急,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我设定之后不知道为什么保安编码器的数字显示，系统说不一样,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我如何启用保安编码器,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
我去到（请于保安编码器输入以下数字，以获取保安编码）,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我们的保安密码器显示：LOCK PIN,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我每次登入系统他都提示我激活保安编码，问题是我点击激活选项他就提示我没有激活，还剩下多少天什么的，不明白什么意识,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
我没有保安密码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我没有保安编码器，只输入密码为何不能登入网上理财,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我没有 找到你说的忘记保安编码器密码,我记得我的保安问题，我该如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
我可以申请保安编码器吗,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我看到里面提示可以换成移动手机的密码器，那个Android App的下载地址能告诉我吗？,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
我看到的是memorable answer/提示问题,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我就是忘记保安问题，登入密码应该还记得,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我汇款不能完成，提示我要使用保安编码器，如何激活？,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
我很久没有登录过我的网上理财，账户名和密码都不记得了,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我好像没有使用双重密码方式登入网上理财,如何设置个人网上理财登录密码,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Second Password_Features
我还没有设立提示答案怎么办,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我还没收到新的保安密码器。,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我估计是我忘记了我的提示答案,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我刚启用了新的编码器，为什么每次登陆不是让我输入网银密码，而是让我输入第一个预设问题的答案？,如何使用保安编码器或流动保安编码，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我刚换了新的保安编码器，今天登陆，显示资料不对,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我刚才登入个人网上理财的时候输入错了密码,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我都已经用了保安编号密码了，还要什么提示的怎记得那么多，我现在又进不去了,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我点击忘记提示答案,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我登录你们网银时，输入你的提示答案，不显示提示问题是什么,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我登录进来后，提示我没有保安密码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我登录个人理财账户时，忘记了提示答案,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我登陆网银显示的第一个密码我不记得了，然后提示问题我输入的答案说不对,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我的账户给锁定了，怎样解锁，原因是提示问题我忘记了。,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的运筹卡好久没使用， 当时设置了两个密码， 我现在区分不开，那个是第一密码，那个是第二密码，,我现有的密码可以登录全新个人网上理财页面吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
我的意思是提示答案和第二密码,重置/更改密码后无法登录个人网上理财，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财用户名忘了,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财已被锁定，如何可以重置密码？,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财也被锁定了,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财第一次登陆 但是老是出问题登不进去,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财操作被锁定。请问如何才能开启/,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网上理财被锁定了，刚才按照网上重设保安资料的操作指引完成了，现在已经有了一个参考编号，接下来如何拨打电话确认,如何通过“电话方式”重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
"我的网上理财保安编码快没有电了, 如何更换?",我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的网络银行账户因为输入错密码锁定了,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的网络银行用的密码器锁死了，有问怎么解开啊,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的提示问题不记得了怎么搞,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我的确输入了正确的密码和编码器的保安码， 但提示我不正确,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我的密码器输入错误一次后面就不让输入了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的密码器试的次数多被锁了，怎么办？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的密码器没电了,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的密码器的密码忘了,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的密码器不小心锁住了，如何解锁？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的流动保安编码器密码忘记了,如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
我的汇丰网银登陆不上去，输入登录密码时总是提示输入错误,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我的个人网上理财有问题无法登入,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的登入密码器，今天发出了low batt提醒,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安器输入的编码老是提示错误,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码失效了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安密码器由于三次输入错了密码，被锁住了，怎么解锁？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码器提示电量低,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安密码器没有输入错误，为什么弹出一个我的保安密码器输入错误的提示,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码器没电了，需怎么更换,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的保安密码器还没收到，请帮我查询一下有无寄出？,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安密码器不在了，我怎么打开我的账户,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的保安密码器不能显示，应该是没电了，怎么更换,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的保安密码器被锁住了，怎么解锁？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码器被锁住，如何重新开启,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码器被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码器lock了，怎么办？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安密码被锁，怎么解锁,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器又出现FAIL 2 的提示,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的保安编码器有问题,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安编码器因为密码输错多次,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器一直没收到  可以查下物流信息么,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安编码器现在显示是lock pn,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的保安编码器显示电池快没了,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安编码器显示低电量了,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安编码器显示 lock pin,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的保安编码器为什么总提示 激活未成功,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安编码器突然不显示了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安编码器锁住了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器实效了， 我也忘记了流动理财的密码，我可以怎样处理,如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
我的保安编码器三次使用错误了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器密码忘了什么办,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的保安编码器没电了，请寄新的保安编码器给我？,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的保安编码器的电池用完了,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我的保安编码器出了问题。长按右下角绿点，但显示屏没有反应。,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安编码器不能出现保安编码,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我的保安编码器被锁住了，怎麽办?,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器被锁住了，怎么解锁？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器被锁住了，怎么办,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器被锁定了，怎么解锁？,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器按错保安编码密码了，怎么班,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我的保安编码器lock了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码没问题呀，我登陆账户就是用保安编码登陆的，能正常登陆账户就应该是同步的呀,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我得到保安编码后， 尝试在 ONLINE BANKING输入， 但都是不能成功,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我到输入交易密码，保存后提示保安密码不对。。。,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我不知你是否理解错，密码刚才可以，是提示问题和保安问题这三项都不让我过,设定个人网上理财提示问题及答案有什么要求,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我不用保安编码器也可以登录网上理财，可以吗,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我不小心输入密码错误多于三次 我重设后 它要我致电回香港才开启网上理财给我,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我不能更改密码，因为已经忘记更改提示问题的答案,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我不明白为什么有提示问题和安保问题？,全新个人网上理财登录页面有什么不同,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
我不记得保安问题了,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我保安编码器的密码连续输错了,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我按照步骤启动保安编码器，但是系统一直要求我启动保安编码器，怎么回事？,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我 想咨询一下，为什么我登入系统后，想更改个人资料，但都显示保安编码密码不正确，为什么?,如何获取保安编码作重新认证,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
问题是我现在密码正确，获取的交易验证码始终报错,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
问题是，密码器已经没电了,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
未收到保安编码器，该如何操作？,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
为什么我网上银行的保安编码器总是提示未激活，我无法进项网上银行的操作,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
为什么我更新个人资料的时候输入流动编码老是提示错误？,如何获取保安编码作重新认证,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
为什么我改了密码后，现时Login不是问我密码，而是问我：提示问题？,重置/更改密码后无法登录个人网上理财，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
为什么说我的保安编码被锁定了，我刚刚用我的保安编码器登陆的呀,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
为什么使用保安编码器是还需要“输入您的提示答案 ”,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
为什么老是提示输入编码不正确，重新输入,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
为什么不可以只更改第一密码,如何更改网上理财登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
为了避免我再出现这种情况，我想改一下提示问题及答案,如何更改网上理财登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
为何还是提示我的保安密码输入不对,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
为何登出后，仍然要旧密码才能正常进入个人网上理财,如何更改网上理财登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
望纪流动保安密码,如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
忘记网上理财用户名,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
忘记提示密码，怎么办？,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
忘记提示答案无法登陆,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
忘记了个人网上理财账户名称,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
忘记第一密码，无法登陆个人理财页面,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
忘记保安编码器密码怎么办,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
忘掉提示答案了,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
网站版说︰「你达到输入安全认证资料的上限，您的网上理财已被锁定，以保障您的安全。 按"重设登入资料"。」,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
网页提示：  多次登入不正确，您的保安编码器暂不能使用,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
网上理财因为密码输入错误而无法登入,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
网上理财已被锁定，怎么解锁？,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
网上理财需要密码吗？我遗失了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
网上理财是否改变了登入程序？,全新个人网上理财登录页面有什么不同,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
网上理财密码重设失败后，要怎样处理？,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
网上理财密码忘了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
网上理财服务需要用到保安编码器对吧？,登录个人网上理财的2种方式是什么,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
网上理财登入出现问题，如何处理！,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
网上理财被锁了，是的,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
网上理财被锁定了,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
晚上用密码器的话，能再设置第二密码对吗,如何设置个人网上理财登录密码,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Second Password_Features
添加新的受款人时总是提醒密码器密码错误，我仔细检查了，没有错。现密码器不能用了！,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
提示问题是什么,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示问题里面根本没有任何问题要求回答，所以不知道应该怎么回答。更新的提示问题我都有备案，但是提示问题里面没有出现任何提示的问题。,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示问题，你喜欢的车辆，是问我车的品牌吗,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示忘记你的提示答案,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
提示说原来的保安密码器就不能用了。,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
提示输入的保安编码不正确,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
提示输入保安编码,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
提示是“您尚未能处理此交易，请激活保安码”,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
提示密码就是输入密码器的密码吗,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示密码话锁了,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
提示答案我不记得了,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
提示答案忘记了怎么办,我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
提示答案是指新密码？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案是原来的密码？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案是啥意思,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案是不是就是原来的登入密码？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案就是第一密码对吗,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案的密码已经输入，但到下一步输入保安密码,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
提示不再支持浏览器过旧的版本,登录时出现GSA error信息该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
提示：激活保安密码,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
他要我输入提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
他提醒我重新申请保安编码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
"他提示的问题我不记得答案了, 怎么半",我可以在线重置提示答案吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
所有的提示答案都是英文字母是吧？,设定个人网上理财提示问题及答案有什么要求,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
说我输错了三次，所以保安密码被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
双重密码知道的，是见到「Memorable Answer/提示答案」，,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
双重密码不知道啊，我就一直用密码，和APP保安密码,如何使用保安编码器或流动保安编码，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
輸入您的提示答案 （即您現有的第一密碼[若您尚未設定提示問題及答案]）这句话是输入密码还是输入提示答案？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
输入资料不正确，密码和保安编码都正确呀,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
输入用户名就提示我的网上理财被锁定,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
输入提示问题和密码问题，问我第一辆车的制造商和型号，不打中文怎么回复啊,为什么不能使用中文回答我的提示问题及保安问题,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
输入提示答案的时候没法切换成简体中文，只有英文,为什么不能使用中文回答我的提示问题及保安问题,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
输入您的提示答案?????不明白,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
